Distanse, Målt, TeoretiskFraDatablad
5, 1.15, 1
10, 2.20, 2.3
15, 2.5, 2.75
20, 2.33, 2.5
30, 1.81, 2
40, 1.41, 1.5
50, 1.15, 1.25
60, 0.95, 1.1
